Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
35.217,129.086,3,0,3,0,0
35.226208,128.638147,0,0,0,0,0
35.226271,128.638162,0,3,0,0,0
35.22628,128.63822,0,1,0,0,0
35.226351,128.638321,0,0,3,0,0
35.226408,128.638159,0,0,14,0,0
35.226438,128.638312,0,0,17,0,0
35.226506,128.638738,0,0,7,0,0
35.226626,128.63887,0,0,0,0,14
35.226727,128.639312,0,0,0,0,13
35.226919,128.638707,0,8,0,0,0
35.226954,128.639147,0,8,0,0,0
35.22733,128.639258,0,0,3,0,0
35.227377,128.639233,0,5,5,0,0
35.227508,128.63941,0,8,0,0,0
35.227703,128.639533,0,2,2,0,0
35.228042,128.639843,0,2,2,0,0
35.228599,128.640383,0,0,0,6,0
35.235,129.078,5,5,5,0,0
35.85234719,129.2702942,0,1,0,0,0
35.8524,129.2704,0,2,0,0,0
35.8526,129.2685,0,2,0,0,0
35.89,128.607,8,8,0,0,8
36.01,129.34,1,1,0,0,0
36.59,128.648,16,18,12,0,6
36.662,129.12,6,0,0,0,0
36.97,127.93,8,0,0,0,0
36.97,127.94,0,72,0,0,0
36.98,127.93,16,30,6,0,0
36.98,127.94,0,3,3,0,0
36.99,127.95,0,9,0,0,0
37.0,127.07,13,16,0,0,11
37.0,127.08,7,5,6,1,1
37.0,127.1,12,12,1,1,0
37.173,128.986,0,0,0,0,1
37.21,127.7,8,8,0,0,0
37.22,127.6,37,11,6,0,4
37.22,127.7,4,2,0,0,0
37.23,127.7,2,3,0,0,3
37.27583,127.4672,26,0,0,0,2
37.28,126.55,24,4,0,0,7
37.29,126.55,7,4,0,0,2
37.29,127.3,3,1,0,0,3
37.31,126.54,3,5,0,0,0
37.31,126.55,25,5,0,0,6
37.31,126.56,1,0,0,0,0
37.313822,127.083064,0,1,0,0,0
37.3141948,127.0853508,5,0,0,0,8
37.314208,127.085175,0,0,0,0,1
37.314226,127.085651,0,0,0,1,0
37.3142264,127.0855885,5,0,0,0,0
37.314228,127.085586,0,0,1,0,0
37.314246,127.085382,1,0,0,0,0
37.3142462,127.0852934,5,0,0,0,0
37.314266,127.085804,0,0,0,0,1
37.3142819,127.0857661,0,7,0,0,0
37.314293,127.088893,0,0,0,0,1
37.3142952,127.0853936,0,10,0,0,0
37.314304,127.086095,0,1,0,0,0
37.314309,127.088985,1,0,0,0,0
37.314311,127.089077,1,0,0,0,0
37.314319,127.088803,0,0,0,0,1
37.314319,127.089152,1,0,0,0,0
37.314326,127.088731,0,0,0,0,1
37.31433,127.088773,0,1,0,0,0
37.314332,127.086223,0,0,0,0,1
37.314336,127.089192,0,0,0,0,1
37.3143363,127.0859301,0,0,0,0,7
37.314338,127.089237,1,0,0,0,0
37.31434,127.088698,0,1,0,0,0
37.31434,127.089322,1,0,0,0,0
37.3143441,127.0862335,0,0,0,0,5
37.3143477,127.0861218,6,0,0,0,0
37.31435,127.089427,0,1,0,0,0
37.314352,127.089387,1,0,0,0,0
37.314352,127.089454,0,0,1,0,0
37.314354,127.089567,1,0,0,0,0
37.314358,127.089054,0,1,0,0,0
37.314362,127.089636,0,0,0,0,1
37.314362,127.089744,1,0,0,0,0
37.314364,127.089611,0,1,0,0,0
37.314364,127.089736,1,0,0,0,0
37.314364,127.089841,1,0,0,0,0
37.314366,127.086487,1,0,0,0,0
37.314366,127.088308,1,0,0,0,0
37.314366,127.089913,0,1,0,0,0
37.314368,127.089701,1,0,0,0,0
37.314369,127.08652,1,0,0,0,0
37.31437,127.086649,1,0,0,0,0
37.31437,127.089971,1,0,0,0,0
37.31437,127.090066,1,0,0,0,0
37.31437,127.090101,1,0,0,0,0
37.3143748,127.0884862,1,0,0,0,0
37.314376,127.090023,1,0,0,0,0
37.314378,127.088191,1,0,0,0,0
37.3143844,127.0864608,7,0,0,0,0
37.3143886,127.0866647,0,7,0,0,0
37.314393,127.088024,1,0,0,0,0
37.314399,127.08721,0,0,1,0,0
37.3144038,127.0868263,6,0,0,0,0
37.314407,127.087465,0,0,0,0,1
37.3144112,127.0886278,1,0,0,0,0
37.3144118,127.063726,7,0,0,0,0
37.3144118,127.0870732,4,0,0,0,0
37.314413,127.08734,1,0,0,0,0
37.314413,127.087375,0,1,0,0,0
37.314413,127.087425,1,0,0,0,0
37.314413,127.08752,0,0,0,0,1
37.3144268,127.0873768,0,0,2,0,0
37.3144369,127.0873275,0,0,2,0,0
37.3144444,127.0872222,0,4,0,0,0
37.3144497,127.0889429,1,0,0,0,0
37.3145332,127.0875417,0,0,2,0,0
37.3151337,127.0768049,0,2,0,0,0
37.3151678,127.0766419,3,0,0,0,0
37.3152867,127.0777615,1,0,0,0,0
37.3152868,127.0777614,2,0,0,0,0
37.3152931,127.0777068,1,0,0,0,0
37.315295,127.077688,1,0,0,0,0
37.318717,127.093198,1,0,0,0,0
37.318815,127.096146,1,0,0,0,0
37.318968,127.096361,1,0,0,0,0
37.319109,127.095037,1,0,0,0,0
37.319133,127.096538,0,0,1,0,0
37.319145,127.094029,0,1,0,0,0
37.319145,127.09403,0,0,0,1,0
37.319445,127.096729,0,0,0,0,1
37.319769,127.096944,0,1,0,0,0
37.32,126.54,3,3,0,0,0
37.32,126.55,6,9,0,0,6
37.32002,127.079104,1,0,0,0,0
37.320208,127.097227,1,0,0,0,0
37.320716,127.097554,0,0,0,0,1
37.3208989,127.0847301,0,0,2,0,0
37.3209048,127.0843989,0,0,1,0,0
37.3209195,127.0845377,4,0,0,0,0
37.3209757,127.0832167,0,0,0,0,2
37.320991,127.097085,0,1,0,0,0
37.3210197,127.0829696,3,0,0,0,0
37.3210245,127.0831956,0,3,0,0,0
37.3210933,127.0823879,3,0,0,0,0
37.3211018,127.0830853,2,0,0,0,0
37.3213578,127.081032,3,0,0,0,0
37.3213919,127.0809261,4,0,0,0,0
37.3217143,127.0801821,2,0,0,0,0
37.3217295,127.0801647,5,0,0,0,0
37.3218255,127.0800373,4,0,0,0,0
37.321969,127.10071,0,1,0,0,0
37.322008,127.100867,1,0,0,0,0
37.322055,127.100987,0,1,0,0,0
37.322082,127.101131,0,0,0,1,0
37.322115,127.101336,1,0,0,0,0
37.322307,127.1018,1,0,0,0,0
37.322336,127.101893,1,0,0,0,0
37.322364,127.102029,0,1,0,0,0
37.322765,127.103019,0,0,0,1,0
37.32295,127.103481,2,0,0,0,0
37.323245,127.103938,1,0,0,0,0
37.32335,127.104145,1,0,0,0,0
37.323367,127.104147,1,0,0,0,0
37.323377,127.104179,1,0,0,0,0
37.323382,127.104184,1,0,0,0,0
37.323388,127.104214,1,0,0,0,0
37.323629,127.105773,1,0,0,0,0
37.323631,127.105802,0,1,0,0,0
37.323634,127.105774,0,0,0,0,1
37.323648,127.10545,0,1,0,0,0
37.32365,127.10541,0,0,0,1,0
37.32365,127.105417,1,0,0,0,0
37.32365,127.105421,1,0,0,0,0
37.323651,127.105403,1,0,0,0,0
